lat,lon,alt,date,device,os,version
52.2352256775,-0.98778617382,99.0299072266,2013-01-16 21:02:56,"iPhone3,1",6.0.1,1.1
52.3697166443,-1.15544092655,99.0299072266,2013-01-16 21:15:44,"iPhone3,1",6.0.1,1.1
52.4054222107,-1.17190027237,99.0299072266,2013-01-16 21:26:24,"iPhone3,1",6.0.1,1.1
52.6939849854,-1.23931324482,99.0299072266,2013-01-16 21:43:28,"iPhone3,1",6.0.1,1.1
53.2081375122,-1.30444765091,0,2013-01-16 22:11:12,"iPhone3,1",6.0.1,1.1
53.3509635925,-1.2902930975,82.2702789307,2013-01-16 22:21:52,"iPhone3,1",6.0.1,1.1
53.4770507812,-1.56544268131,102.684188843,2013-01-16 22:43:12,"iPhone3,1",6.0.1,1.1
53.5687980652,-1.78420519829,155.266204834,2013-01-16 23:02:24,"iPhone3,1",6.0.1,1.1
53.597240448,-1.66756331921,151.760467529,2013-01-17 09:59:28,"iPhone3,1",6.0.1,1.1
53.5911102295,-1.68740010262,213.038925171,2013-01-17 10:10:08,"iPhone3,1",6.0.1,1.1
53.5760803223,-1.70789146423,194.493270874,2013-01-17 11:26:56,"iPhone3,1",6.0.1,1.1
53.5798606873,-1.77950811386,160.279159546,2013-01-17 11:33:20,"iPhone3,1",6.0.1,1.1
53.568321228,-1.78758144379,177.228775024,2013-01-17 11:52:32,"iPhone3,1",6.0.1,1.1
53.5692062378,-1.80432379246,158.965179443,2013-01-17 15:10:56,"iPhone3,1",6.0.1,1.1
53.5682983398,-1.78760433197,177.646484375,2013-01-17 15:40:48,"iPhone3,1",6.0.1,1.1
53.5610237122,-1.81254851818,176.032836914,2013-01-17 16:42:40,"iPhone3,1",6.0.1,1.1
53.5657539368,-1.77822768688,179.594924927,2013-01-17 16:49:04,"iPhone3,1",6.0.1,1.1
53.5822296143,-1.7789349556,183.218353271,2013-01-17 16:55:28,"iPhone3,1",6.0.1,1.1
53.5683174133,-1.78775238991,174.778686523,2013-01-17 17:12:32,"iPhone3,1",6.0.1,1.1
53.5690078735,-1.80490291119,172.976821899,2013-01-17 17:33:52,"iPhone3,1",6.0.1,1.1
53.5688285828,-1.78815412521,166.106903076,2013-01-17 17:55:12,"iPhone3,1",6.0.1,1.1
